term,idf
kuliah,3.740840023925201
kostannya,3.740840023925201
kostan,3.740840023925201
kosannya,3.740840023925201
komunikasi,3.740840023925201
komentar,3.740840023925201
km,3.740840023925201
khusus,3.740840023925201
kenyamanan,3.740840023925201
kenceng,3.740840023925201
kemarin,3.740840023925201
lingkungan,3.740840023925201
lemari,3.740840023925201
lela,3.740840023925201
laundry,3.740840023925201
lantai,3.740840023925201
langganan,3.740840023925201
lalu,3.740840023925201
lain,3.740840023925201
kursi,3.740840023925201
kurangnya,3.740840023925201
kuota,3.740840023925201
kulkas,3.740840023925201
sehat,3.740840023925201
sedikit,3.740840023925201
security,3.740840023925201
sebelah,3.740840023925201
sayangnya,3.740840023925201
sayang,3.740840023925201
sangga,3.740840023925201
sana,3.740840023925201
rupiah,3.740840023925201
ruang,3.740840023925201
rekomendasi,3.740840023925201
mau,3.740840023925201
masjid,3.740840023925201
masalah,3.740840023925201
mangga,3.740840023925201
mana,3.740840023925201
makan,3.740840023925201
main,3.740840023925201
mahasiswi,3.740840023925201
lumayan,3.740840023925201
luar,3.740840023925201
mudah,3.740840023925201
mobil,3.740840023925201
middle,3.740840023925201
mesjid,3.740840023925201
merawat,3.740840023925201
menyesuaikan,3.740840023925201
menyenangkan,3.740840023925201
menurut,3.740840023925201
menantang,3.740840023925201
mbps,3.740840023925201
max,3.740840023925201
maupun,3.740840023925201
rapih,3.740840023925201
putus,3.740840023925201
putra,3.740840023925201
pusat,3.740840023925201
pulang,3.740840023925201
proyek,3.740840023925201
posisi,3.740840023925201
pihak,3.740840023925201
pertama,3.740840023925201
pernah,3.740840023925201
perabotannya,3.740840023925201
paling,3.740840023925201
oleh,3.740840023925201
nyari,3.740840023925201
nongkrong,3.740840023925201
nomor,3.740840023925201
ngobrol,3.740840023925201
nginep,3.740840023925201
ngekos,3.740840023925201
nge,3.740840023925201
next,3.740840023925201
namun,3.740840023925201
mungkin,3.740840023925201
mudun,3.740840023925201
penting,3.740840023925201
penjaga,3.740840023925201
penginapan,3.740840023925201
pemiliknya,3.740840023925201
pemakaian,3.740840023925201
patungan,3.740840023925201
pasti,3.740840023925201
pasar,3.740840023925201
pas,3.740840023925201
parkir,3.740840023925201
panen,3.740840023925201
aku,3.740840023925201
wc,3.740840023925201
wastafel,3.740840023925201
warung,3.740840023925201
warteg,3.740840023925201
waktu,3.740840023925201
wajar,3.740840023925201
unpad,3.740840023925201
universitas,3.740840023925201
ukuran,3.740840023925201
ucap,3.740840023925201
top,3.740840023925201
tolong,3.740840023925201
beberapa,3.740840023925201
bebas,3.740840023925201
bapa,3.740840023925201
banyak,3.740840023925201
balik,3.740840023925201
anget,3.740840023925201
anak,3.740840023925201
an,3.740840023925201
alfamart,3.740840023925201
area,3.3353749158170367
bandung,3.3353749158170367
bakal,3.3353749158170367
umum,3.3353749158170367
udah,3.3353749158170367
tv,3.3353749158170367
pemanas,3.3353749158170367
pelayanan,3.3353749158170367
memang,3.3353749158170367
mahal,3.3353749158170367
pria,3.3353749158170367
punya,3.3353749158170367
oke,3.3353749158170367
murah,3.3353749158170367
meja,3.3353749158170367
recommended,3.3353749158170367
tamu,3.3353749158170367
sekitar,3.3353749158170367
setiap,3.3353749158170367
enak,3.3353749158170367
jalan,3.3353749158170367
it,3.3353749158170367
kota,3.3353749158170367
kamarnya,3.3353749158170367
kemana,3.3353749158170367
kostnya,3.3353749158170367
lokasinya,3.3353749158170367
listrik,3.3353749158170367
sekali,3.3353749158170367
responsif,3.3353749158170367
bersama,3.3353749158170367
buat,3.3353749158170367
tempatnya,3.3353749158170367
terbaik,3.3353749158170367
terjangkau,3.3353749158170367
terima,3.3353749158170367
termasuk,3.3353749158170367
tinggal,3.3353749158170367
worth,3.3353749158170367
akses,3.3353749158170367
agak,3.3353749158170367
cukup,3.3353749158170367
deh,3.3353749158170367
harganya,3.3353749158170367
sini,3.3353749158170367
mesin,3.0476928433652555
fasilitasnya,3.0476928433652555
cocok,3.0476928433652555
cctv,3.0476928433652555
cuci,3.0476928433652555
jemuran,3.0476928433652555
selama,3.0476928433652555
pindah,3.0476928433652555
mahasiswa,3.0476928433652555
pemilik,3.0476928433652555
penghuni,3.0476928433652555
parkiran,3.0476928433652555
bapak,3.0476928433652555
motor,3.0476928433652555
lagi,3.0476928433652555
masuk,3.0476928433652555
mantap,3.0476928433652555
kalo,3.0476928433652555
